L01 Customer Name (Key)	L01 Branch Key	L01 Document no. Key	Balance
JOHN STENNIS MEM HOSPITAL	100207124	3059698115	3.34
JOHN STENNIS MEM HOSPITAL	100207124	3060005285	0.31
JOHN STENNIS MEM HOSPITAL	100207124	3060870898	2.44
JOHN STENNIS MEM HOSPITAL	100207124	3061561635	327.54
JOHN STENNIS MEM HOSPITAL	100207124	3061693638	6.78
JOHN STENNIS MEM HOSPITAL	100207124	3061847071	46.96
JOHN STENNIS MEM HOSPITAL	100207124	3061874835	62.51
JOHN STENNIS MEM HOSPITAL	100207124	3061993192	88.28
JOHN STENNIS MEM HOSPITAL	100207124	3062133208	12.92
JOHN STENNIS MEM HOSPITAL	100207124	3062540839	0.92
JOHN STENNIS MEM HOSPITAL	100207124	3062540860	12.48
JOHN STENNIS MEM HOSPITAL	100207124	3062819818	564.68
JOHN STENNIS MEM HOSPITAL	100207124	3062951605	3.46
JOHN STENNIS MEM HOSPITAL	100207124	3063240752	71.93
JOHN STENNIS MEM HOSPITAL	100207124	3063805126	24.78
JOHN STENNIS MEM HOSPITAL	100207124	3063948804	2.15
JOHN STENNIS MEM HOSPITAL	100207124	3064370292	0.31
JOHN STENNIS MEM HOSPITAL	100207124	3064660658	286.37
JOHN STENNIS MEM HOSPITAL	100207124	3064661150	5.45
JOHN STENNIS MEM HOSPITAL	100207124	3064938838	2.62
JOHN STENNIS MEM HOSPITAL	100207124	3065077605	19.63
JOHN STENNIS MEM HOSPITAL	100207124	3065358360	4.3
JOHN STENNIS MEM HOSPITAL	100207124	3065506019	3.41
JOHN STENNIS MEM HOSPITAL	100207124	3065788854	39.43
JOHN STENNIS MEM HOSPITAL	100207124	3066066359	3.9
JOHN STENNIS MEM HOSPITAL	100207124	3066066751	45.08
JOHN STENNIS MEM HOSPITAL	100207124	3066066753	4.18
JOHN STENNIS MEM HOSPITAL	100207124	3066101683	3.41
JOHN STENNIS MEM HOSPITAL	100207124	3066641116	12.39
JOHN STENNIS MEM HOSPITAL	100207124	3066788283	0.96
JOHN STENNIS MEM HOSPITAL	100207124	3066788284	319.06
JOHN STENNIS MEM HOSPITAL	100207124	3066788285	0.94
JOHN STENNIS MEM HOSPITAL	100207124	3066842108	19.24
JOHN STENNIS MEM HOSPITAL	100207124	3066967926	3.7
JOHN STENNIS MEM HOSPITAL	100207124	3066967927	12.3
JOHN STENNIS MEM HOSPITAL	100207124	3067385753	9.34
JOHN STENNIS MEM HOSPITAL	100207124	3067385755	9.84
JOHN STENNIS MEM HOSPITAL	100207124	3067694616	0.96
JOHN STENNIS MEM HOSPITAL	100207124	3067824265	11.93
JOHN STENNIS MEM HOSPITAL	100207124	3068106306	10.87
JOHN STENNIS MEM HOSPITAL	100207124	3068145479	0.31
JOHN STENNIS MEM HOSPITAL	100207124	3068411411	12.71
JOHN STENNIS MEM HOSPITAL	100207124	3068823652	9.75
JOHN STENNIS MEM HOSPITAL	100207124	3069534035	3.11
JOHN STENNIS MEM HOSPITAL	100207124	3069563189	30.75
JOHN STENNIS MEM HOSPITAL	100207124	3070237108	7.12
JOHN STENNIS MEM HOSPITAL	100207124	3070266930	13.09
JOHN C STENNIS MEMORIAL HOSP	100270872	0803000871	84.37
JOHN C STENNIS MEMORIAL HOSP	100270872	0803135061	71.8
JOHN C STENNIS MEMORIAL HOSP	100270872	0803154471	41.03
JOHN C STENNIS MEMORIAL HOSP	100270872	0803168752	10.26
JOHN C STENNIS MEMORIAL HOSP	100270872	3066676276	10400
WASHINGTON HOSPITAL CENTER CORP	100189675	0803069854	10.16
WASHINGTON HOSPITAL CENTER CORP	100189675	0803086463	27.91
WASHINGTON HOSPITAL CENTER CORP	100189675	0803086715	27.91
WASHINGTON HOSPITAL CENTER CORP	100189675	0803110598	27.91
WASHINGTON HOSPITAL CENTER CORP	100189675	0803112000	27.91
WASHINGTON HOSPITAL CENTER CORP	100189675	0803130353	29.08
WASHINGTON HOSPITAL CENTER CORP	100189675	0803147327	34.23
WASHINGTON HOSPITAL CENTER CORP	100189675	0803163240	20.46
WASHINGTON HOSPITAL CENTER CORP	100189675	1600409138	-916.16
WASHINGTON HOSPITAL CENTER CORP	100189675	3064545888	100.9
WASHINGTON HOSPITAL CENTER CORP	100189675	3064545889	792.6
WASHINGTON HOSPITAL CENTER CORP	100189675	3064551103	806
WASHINGTON HOSPITAL CENTER CORP	100189675	3070424377	519.86
WASHINGTON HOSPITAL CENTER CORP	100189675	3070425224	4644
WASHINGTON HOSPITAL CENTER CORP	100189675	3070428543	41.5
UNION HOSPITAL OF CECIL COUNTY	100209500	0802930845	30.77
UNION HOSPITAL OF CECIL COUNTY	100209500	0802959448	130.79
UNION HOSPITAL OF CECIL COUNTY	100209500	0802961373	53.85
UNION HOSPITAL OF CECIL COUNTY	100209500	0803088557	61.55
UNION HOSPITAL OF CECIL COUNTY	100209500	0803095583	23.08
UNION HOSPITAL OF CECIL COUNTY	100209500	0803100077	23.08
UNION HOSPITAL OF CECIL COUNTY	100209500	0803103352	53.85
UNION HOSPITAL OF CECIL COUNTY	100209500	0803133355	84.62
UNION HOSPITAL OF CECIL COUNTY	100209500	0803141338	107.7
UNION HOSPITAL OF CECIL COUNTY	100209500	0803155972	107.7
UNION HOSPITAL OF CECIL COUNTY	100209500	0803165959	107.7
UNION HOSPITAL OF CECIL COUNTY	100209500	3063840927	15600
UNION HOSPITAL OF CECIL COUNTY	100209500	3064407075	15600
UNION HOSP OF CECIL CO	100256682	0802944436	9.87
UNION HOSP OF CECIL CO	100256682	0802963289	9.87
UNION HOSP OF CECIL CO	100256682	0802972031	9.87
UNION HOSP OF CECIL CO	100256682	0802978632	9.87
UNION HOSP OF CECIL CO	100256682	0803114035	10.84
UNION HOSP OF CECIL CO	100256682	0803134480	6.9
UNION HOSP OF CECIL CO	100256682	0803149906	6.9
UNION HOSP OF CECIL CO	100256682	0803152092	6.9
UNION HOSP OF CECIL CO	100256682	0803164200	6.9
UNION HOSP OF CECIL CO	100256682	3057284173	1998.56
UNION HOSP OF CECIL CO	100256682	3061197356	1998.56
UNION HOSP OF CECIL CO	100256682	3065962063	2997.84
UNION HOSP OF CECIL CO	100256682	3066259456	1998.56
UNION HOSP OF CECIL CO	100256682	3068451253	1998.56
SOUTH HILLS OB AND GYN ASSOC	100220391	0802979427	8.1
SOUTH HILLS OB AND GYN ASSOC	100220391	0803044256	6.41
SOUTH HILLS OB AND GYN ASSOC	100220391	0803076242	8.87
SOUTH HILLS OB AND GYN ASSOC	100220391	0803082868	7.89
SOUTH HILLS OB AND GYN ASSOC	100220391	0803098267	10.35
SOUTH HILLS OB AND GYN ASSOC	100220391	0803104028	10.35
SOUTH HILLS OB AND GYN ASSOC	100220391	0803115298	11.34
SOUTH HILLS OB AND GYN ASSOC	100220391	0803119290	15.28
SOUTH HILLS OB AND GYN ASSOC	100220391	0803134010	18.07
SOUTH HILLS OB AND GYN ASSOC	100220391	0803142004	20.12
SOUTH HILLS OB AND GYN ASSOC	100220391	0803165583	20.12
SOUTH HILLS OB AND GYN ASSOC	100220391	0803169644	24.56
SOUTH HILLS OB AND GYN ASSOC	100220391	3054963027	1998.56
SOUTH HILLS OB AND GYN ASSOC	100220391	3055640370	999.28
SOUTH HILLS OB AND GYN ASSOC	100220391	3057550931	999.28
SOUTH HILLS OB AND GYN ASSOC	100220391	3058106678	999.28
SOUTH HILLS OB AND GYN ASSOC	100220391	3058922314	832.07
SOUTH HILLS OB AND GYN ASSOC	100220391	3060772778	2997.84
SOUTH HILLS OB AND GYN ASSOC	100220391	3063707020	999.28
SOUTH HILLS OB AND GYN ASSOC	100220391	3064740577	999.28
SOUTH HILLS OB AND GYN ASSOC	100220391	3066674563	999.28
SOUTH HILLS OB AND GYN ASSOC	100220391	3068717308	999.28
SOUTH HILLS OB AND GYN ASSOC	100220391	3069574928	1998.56
OLIVE STREET PHARMACY LLC	100223749	0677299808	-47007.11
OLIVE STREET PHARMACY LLC	100223749	0677427784	-64554.66
OLIVE STREET PHARMACY LLC	100223749	0802853822	22.91
OLIVE STREET PHARMACY LLC	100223749	0802859612	80.1
OLIVE STREET PHARMACY LLC	100223749	0802871178	40.18
OLIVE STREET PHARMACY LLC	100223749	3065191456	19252.72
OLIVE STREET PHARMACY LLC	100223749	3067196109	13024.61
OLIVE STREET PHARMACY LLC	100223749	3067614110	26617.61
OLIVE STREET PHARMACY LLC	100223749	3068243885	13024.61
OLIVE STREET PHARMACY LLC	100223749	3068935263	6228.11
OLIVE STREET PHARMACY LLC	100223749	3069640312	6228.11
OLIVE STREET PHARMACY LLC	100223749	3069891713	12456.22
OLIVE STREET PHARMACY LLC	100223749	3070334491	13593
OLIVE STREET PHARMACY LLC	100223749	3070480394	6228.11
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802836819	25.96
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802853353	8.18
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802870361	23.37
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802884435	21.72
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802905501	24.19
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802917389	26.04
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802928079	28.51
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802930863	32.21
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802959468	28.51
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802960611	31.59
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802961391	34.68
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802991460	24.19
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0802992363	30.36
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803011612	24.19
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803018350	24.19
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803038459	21.6
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803039362	19.18
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803063408	19.13
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803066198	20.98
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803068562	19.75
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803088573	16.66
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803095598	17.89
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803100101	17.28
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803103370	15.43
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803133371	12.96
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803141355	15.43
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803155987	17.28
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	0803165973	16.66
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3059323926	1250
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3060932322	1250
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3062332324	1250
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3064131540	1250
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3065146811	1250
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3066892635	1250
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3068008840	1250
HEALTHY GYNECOLOGICAL SERVICES P C	100209820	3070139082	1075
PROBST CLANCY AND BEHM OB AND	100219761	0803089191	10.47
PROBST CLANCY AND BEHM OB AND	100219761	0803103959	5.98
PROBST CLANCY AND BEHM OB AND	100219761	3063430250	1998.56
PROBST CLANCY AND BEHM OB AND	100219761	3068164207	3997.12
EASTOVER OB GYN ASSOCIATES INC	100189661	3064995954	1800
UH SAMARITAN WOMENS CARE	100218401	0677814473	-5.66
UH SAMARITAN WOMENS CARE	100218401	0677960945	-5.66
UH SAMARITAN WOMENS CARE	100218401	0678008465	-5.66
UH SAMARITAN WOMENS CARE	100218401	0678062670	-12.94
UH SAMARITAN WOMENS CARE	100218401	0803063945	5.63
CIBOLA GENERAL HOSPITAL PHCY	100218355	0677689022	3.49
CIBOLA GENERAL HOSPITAL PHCY	100218355	0677951787	13.26
CIBOLA GENERAL HOSPITAL PHCY	100218355	0802906142	15.47
CIBOLA GENERAL HOSPITAL PHCY	100218355	0803018900	9.17
CIBOLA GENERAL HOSPITAL PHCY	100218355	0803039018	36.17
CIBOLA GENERAL HOSPITAL PHCY	100218355	0803063938	36.38
TODAYS WOMAN HLTH CTR	100219051	0802853674	7.36
TODAYS WOMAN HLTH CTR	100219051	0802859365	25.77
TODAYS WOMAN HLTH CTR	100219051	0802870946	25.77
TODAYS WOMAN HLTH CTR	100219051	0802884949	25.77
TODAYS WOMAN HLTH CTR	100219051	0802906223	25.77
TODAYS WOMAN HLTH CTR	100219051	0802918020	25.77
TODAYS WOMAN HLTH CTR	100219051	0802934422	25.77
TODAYS WOMAN HLTH CTR	100219051	0802942502	25.77
TODAYS WOMAN HLTH CTR	100219051	0802962054	25.77
TODAYS WOMAN HLTH CTR	100219051	0802972259	25.77
TODAYS WOMAN HLTH CTR	100219051	0802979253	25.77
TODAYS WOMAN HLTH CTR	100219051	0802992144	27.74
TODAYS WOMAN HLTH CTR	100219051	0802993032	25.77
TODAYS WOMAN HLTH CTR	100219051	0803018987	29.22
TODAYS WOMAN HLTH CTR	100219051	0803024304	29.22
TODAYS WOMAN HLTH CTR	100219051	0803039110	29.22
TODAYS WOMAN HLTH CTR	100219051	0803039984	29.22
TODAYS WOMAN HLTH CTR	100219051	0988150952	999.28
TODAYS WOMAN HLTH CTR	100219051	1600111607	1907.02
TODAYS WOMAN HLTH CTR	100219051	1600111609	953.51
TODAYS WOMAN HLTH CTR	100219051	1600111611	1747.47
TODAYS WOMAN HLTH CTR	100219051	1600111613	953.51
TODAYS WOMAN HLTH CTR	100219051	1600111615	1907.02
TODAYS WOMAN HLTH CTR	100219051	1600111617	19.22
TODAYS WOMAN HLTH CTR	100219051	1600111619	37.28
TODAYS WOMAN HLTH CTR	100219051	1600111621	50.79
TODAYS WOMAN HLTH CTR	100219051	1600111623	21.63
TODAYS WOMAN HLTH CTR	100219051	1600111625	68.72
TODAYS WOMAN HLTH CTR	100219051	1600111628	68.17
TODAYS WOMAN HLTH CTR	100219051	1600111630	68.17
TODAYS WOMAN HLTH CTR	100219051	1600111632	68.17
TODAYS WOMAN HLTH CTR	100219051	1600111634	85.02
HUNTSVILLE HOSP	100265180	0678178103	-1483.81
HUNTSVILLE HOSP	100265180	0803154327	9.38
HUNTSVILLE HOSP	100265180	3058524888	1998.56
HUNTSVILLE HOSP	100265180	3064129769	1998.56
HUNTSVILLE HOSP	100265180	3064297858	19236.14
HUNTSVILLE HOSP	100265180	3065828782	2997.84
HUNTSVILLE HOSP	100265180	3067155370	2092.65
HUNTSVILLE HOSP	100265180	3067276973	1998.56
HUNTSVILLE HOSP	100265180	3067607096	1998.56
HUNTSVILLE HOSP	100265180	3067878054	1998.56
HUNTSVILLE HOSP	100265180	3068303624	1998.56
HUNTSVILLE HOSP	100265180	3068874052	62779.5
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802853833	15.17
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802859628	102.32
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802871201	104.57
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802885209	120.31
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802911534	155.45
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802919272	155.45
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802934944	155.45
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802942760	155.45
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802964329	273.91
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802972546	344.18
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802979570	397.05
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0802995349	529.22
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803001459	609.15
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803020276	578.16
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803024581	530.72
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803040251	635.61
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803044388	574.47
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803067281	546.36
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803076337	476.09
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803082950	579.39
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803098354	375.36
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803104125	77.3
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803115447	102.88
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803119378	102.32
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803134096	102.32
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803142100	106.26
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803165687	154.63
SPARTANBURG REG HLTH SVCS DIST INC	100225973	0803169723	207.09
SPARTANBURG REG HLTH SVCS DIST INC	100225973	1600401213	19.68
SPARTANBURG REG HLTH SVCS DIST INC	100225973	1600401214	87.14
SPARTANBURG REG HLTH SVCS DIST INC	100225973	1600401215	36.54
SPARTANBURG REG HLTH SVCS DIST INC	100225973	1600401216	300.77
SPARTANBURG REG HLTH SVCS DIST INC	100225973	3069742964	43968.5
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803076435	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803083037	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803098452	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803104221	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803115536	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803119462	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803134193	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803142188	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803165781	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	0803169812	9.84
SPARTANBURG REG HLTH SVCS DIST INC	100228723	1600401242	112.29
SPARTANBURG REG HLTH SVCS DIST INC	100228723	1600401243	50.88
SPARTANBURG REG HLTH SVCS DIST INC	100228723	1600401244	350.92
SPARTANBURG REG HLTH SVCS DIST INC	100228723	1600401245	2850
ENTERPRISE WOMENS CTR	100220386	0678057509	-70.65
ENTERPRISE WOMENS CTR	100220386	0803076241	14.23
ENTERPRISE WOMENS CTR	100220386	0803082867	11.08
ENTERPRISE WOMENS CTR	100220386	0803098265	8
ENTERPRISE WOMENS CTR	100220386	3062332038	17187.6
ENTERPRISE WOMENS CTR	100220386	3069419713	17187.6
WOMENS & INFANTS HOSP OF RI	100263895	0802944966	119.78
WOMENS & INFANTS HOSP OF RI	100263895	0802963777	123.88
WOMENS & INFANTS HOSP OF RI	100263895	0802973524	101.58
WOMENS & INFANTS HOSP OF RI	100263895	0802979132	106.19
WOMENS & INFANTS HOSP OF RI	100263895	0802994754	94.91
WOMENS & INFANTS HOSP OF RI	100263895	0803000617	80.8
WOMENS & INFANTS HOSP OF RI	100263895	0803020168	31.89
WOMENS & INFANTS HOSP OF RI	100263895	0803066486	8.38
WOMENS & INFANTS HOSP OF RI	100263895	0803082032	6.9
WOMENS & INFANTS HOSP OF RI	100263895	0803104829	8.87
WOMENS & INFANTS HOSP OF RI	100263895	0803114966	6.9
WOMENS & INFANTS HOSP OF RI	100263895	0803118389	6.9
WOMENS & INFANTS HOSP OF RI	100263895	0803134847	6.9
WOMENS & INFANTS HOSP OF RI	100263895	0803154268	6.9
WOMENS & INFANTS HOSP OF RI	100263895	0803164519	6.9
WOMENS & INFANTS HOSP OF RI	100263895	0803168530	6.9
WOMENS & INFANTS HOSP OF RI	100263895	3055747430	1000
WOMENS & INFANTS HOSP OF RI	100263895	3059594713	1000
WOMENS & INFANTS HOSP OF RI	100263895	3066873407	1000
ST VINCENT MED GROUP SALEM	100217792	0802837237	16.92
ST VINCENT MED GROUP SALEM	100217792	0802870804	13.16
ST VINCENT MED GROUP SALEM	100217792	0802884841	13.16
ST VINCENT MED GROUP SALEM	100217792	0802906086	13.16
ST VINCENT MED GROUP SALEM	100217792	0802917918	13.16
ST VINCENT MED GROUP SALEM	100217792	0802934189	13.16
ST VINCENT MED GROUP SALEM	100217792	0802942374	13.16
ST VINCENT MED GROUP SALEM	100217792	0802960102	13.16
ST VINCENT MED GROUP SALEM	100217792	0802961132	13.16
ST VINCENT MED GROUP SALEM	100217792	0802961923	13.16
ST VINCENT MED GROUP SALEM	100217792	0802991994	13.16
ST VINCENT MED GROUP SALEM	100217792	0802992883	13.16
ST VINCENT MED GROUP SALEM	100217792	0803012155	13.16
ST VINCENT MED GROUP SALEM	100217792	0803018845	13.16
ST VINCENT MED GROUP SALEM	100217792	0803038964	13.16
ST VINCENT MED GROUP SALEM	100217792	0803039847	13.16
ST VINCENT MED GROUP SALEM	100217792	0803063895	13.16
ST VINCENT MED GROUP SALEM	100217792	0803068988	13.16
ST VINCENT MED GROUP SALEM	100217792	0803082624	13.16
ST VINCENT MED GROUP SALEM	100217792	0803089015	14.64
ST VINCENT MED GROUP SALEM	100217792	0803096026	18.09
ST VINCENT MED GROUP SALEM	100217792	0803103792	16.61
ST VINCENT MED GROUP SALEM	100217792	0803114838	16.61
ST VINCENT MED GROUP SALEM	100217792	0803133754	20.06
ST VINCENT MED GROUP SALEM	100217792	0803141750	20.06
ST VINCENT MED GROUP SALEM	100217792	0803165364	20.06
ST VINCENT MED GROUP SALEM	100217792	0803169417	20.06
ST VINCENT MED GROUP SALEM	100217792	0983303110	1907.02
ST VINCENT MED GROUP SALEM	100217792	1600113732	1907.02
ST VINCENT MED GROUP SALEM	100217792	3056162656	999.28
ST VINCENT MED GROUP SALEM	100217792	3058103159	999.28
ST VINCENT MED GROUP SALEM	100217792	3068460864	999.28
ZUCKERBERG SF GENERAL HOSP	100220614	0802942668	44.97
ZUCKERBERG SF GENERAL HOSP	100220614	0802962236	44.97
ZUCKERBERG SF GENERAL HOSP	100220614	0802972452	44.97
ZUCKERBERG SF GENERAL HOSP	100220614	0802979466	51.18
ZUCKERBERG SF GENERAL HOSP	100220614	0802995251	24.79
ZUCKERBERG SF GENERAL HOSP	100220614	0803040174	11.54
ZUCKERBERG SF GENERAL HOSP	100220614	0803044288	12.42
ZUCKERBERG SF GENERAL HOSP	100220614	0803064201	12.42
ZUCKERBERG SF GENERAL HOSP	100220614	0803076270	12.42
ZUCKERBERG SF GENERAL HOSP	100220614	0803082894	12.42
ZUCKERBERG SF GENERAL HOSP	100220614	0803098290	12.42
ZUCKERBERG SF GENERAL HOSP	100220614	0803104056	18.63
ZUCKERBERG SF GENERAL HOSP	100220614	0803115347	18.63
ZUCKERBERG SF GENERAL HOSP	100220614	0803119322	18.63
ZUCKERBERG SF GENERAL HOSP	100220614	0803134041	18.63
ZUCKERBERG SF GENERAL HOSP	100220614	0803142032	18.63
ZUCKERBERG SF GENERAL HOSP	100220614	0803165612	18.63
ZUCKERBERG SF GENERAL HOSP	100220614	0803169667	18.63
ZUCKERBERG SF GENERAL HOSP	100220614	3054960861	1800
ZUCKERBERG SF GENERAL HOSP	100220614	3055765477	1800
ZUCKERBERG SF GENERAL HOSP	100220614	3059191812	1800
ZUCKERBERG SF GENERAL HOSP	100220614	3063993838	1900
ZUCKERBERG SF GENERAL HOSP	100220614	3067440239	1800
SAINT ANTHONYS OBGYN SPCLST	100218909	0802960236	11.29
MERIDIAN WOMENS HLTH	100215494	0677975540	-17.3
SAGAR Y PATEL MD LLC	100276408	0802935870	30.94
SAGAR Y PATEL MD LLC	100276408	0803097548	18.53
SAGAR Y PATEL MD LLC	100276408	0803105109	23.16
SAGAR Y PATEL MD LLC	100276408	3065718922	19201.14
COMP OB GYN CARE OF PRINCETON	100217659	0802837220	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802853586	13.26
COMP OB GYN CARE OF PRINCETON	100217659	0802870790	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802884831	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802906074	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802917908	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802934167	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802942363	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802960089	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802961122	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802961911	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802991981	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0802992872	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0803012141	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0803018835	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0803038953	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0803039836	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0803063885	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0803068979	46.41
COMP OB GYN CARE OF PRINCETON	100217659	0803082614	19.89
HEART OF ILLINOIS OB GYN	100219701	0803165511	65.5
HEART OF ILLINOIS OB GYN	100219701	0803169570	37.42
HEART OF ILLINOIS OB GYN	100219701	3061365178	4743.57
HEART OF ILLINOIS OB GYN	100219701	3061732185	9487.13
HEART OF ILLINOIS OB GYN	100219701	3065120033	9487.13
HEART OF ILLINOIS OB GYN	100219701	3066871244	4743.57
HEART OF ILLINOIS OB GYN	100219701	3068645017	9487.13
THE GUTHRIE CANCER CTR CLINIC LTD	100239109	0802929693	11.79
THE GUTHRIE CANCER CTR CLINIC LTD	100239109	0802947589	35.37
THE GUTHRIE CANCER CTR CLINIC LTD	100239109	0803015089	11.79
THE GUTHRIE CANCER CTR CLINIC LTD	100239109	0803036521	35.37
THE GUTHRIE CANCER CTR CLINIC LTD	100239109	0803113522	17.69
THE GUTHRIE CANCER CTR CLINIC LTD	100239109	0803127003	17.69
THE GUTHRIE CANCER CTR CLINIC LTD	100239109	3069576603	11954.1
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802904056	87.58
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802916896	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802930069	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802933400	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802947950	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802971686	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802978270	481.71
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802990894	613.08
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0802999845	525.5
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0803019458	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0803023358	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0803036075	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0803036822	306.54
THE GUTHRIE CANCER CTR CLINIC LTD	100247005	0803060803	175.17
THE GUTHRIE CANCER CTR CLINIC LTD	100262950	0603791583	-1910.6
THE GUTHRIE CANCER CTR CLINIC LTD	100262950	0678070602	7400
THE GUTHRIE CANCER CTR CLINIC LTD	100262950	0802918852	184.3
THE GUTHRIE CANCER CTR CLINIC LTD	100262950	0802935271	557.22
